9;The Simpsons;Animação;8,70;35;1989
10;Better Call Saul;Drama;8,90;6;2015
11;House;Drama;8,70;8;2004
12;How I Met Your Mother;Comédia;8,30;9;2005
13;Lost;Mistério;8,30;6;2004
14;The Witcher;Fantasia;8,20;3;2019
15;Black Mirror;Ficção Científica;8,80;6;2011
16;The Boys;Ação;8,70;4;2019
17;Peaky Blinders;História;8,80;6;2013
18;Dark;Mistério;8,80;3;2017
